peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13392182+-0.1752966+-0.59917593,0.13743351+-0.14969552+-0.56718,0.18912439+0.0025218884+0.09448157,0.6024864,112,1710.049232166
0.13392173+-0.17529681+-0.59915525,0.13390464+-0.15297964+-0.5701047,0.18912636+0.0025240881+0.09445188,0.6052707,113,1710.082575625
0.13390414+-0.17530084+-0.5991264,0.13203068+-0.15509312+-0.5713577,0.18913557+0.0025265487+0.094422884,0.606577,114,1710.115919666
0.13388316+-0.17530182+-0.5990972,0.13166054+-0.15576616+-0.57141787,0.1891428+0.0025243703+0.0943952,0.60672563,115,1710.149262958
0.13388021+-0.1753069+-0.59907293,0.13137396+-0.15681693+-0.571087,0.1891486+0.002525906+0.09436474,0.60662264,116,1710.182605833
0.1338602+-0.1752967+-0.5990445,0.12986207+-0.15082856+-0.572144,0.18914951+0.002535019+0.094397,0.605774,117,1710.215949416
0.13388051+-0.17534669+-0.5990506,0.12911789+-0.14812116+-0.5726617,0.18916357+0.002537663+0.09438677,0.60543597,118,1710.249294041
0.13388245+-0.1753892+-0.5990235,0.128014+-0.14516152+-0.57326627,0.18918549+0.0025363478+0.09436786,0.60505676,119,1710.282636458
0.13389447+-0.17543101+-0.5989881,0.12728564+-0.14444377+-0.573448,0.18916953+0.0025350132+0.094424464,0.60490346,120,1710.315979791
0.13385938+-0.17544474+-0.59903705,0.12605768+-0.14220749+-0.5732605,0.18916751+0.002523191+0.094430774,0.603938,121,1710.349322666
0.13386282+-0.17542937+-0.59905714,0.12429604+-0.13787264+-0.5728605,0.18916401+0.0025075898+0.09441818,0.60218555,122,1710.382665875
0.13384342+-0.17542471+-0.5990403,0.12298783+-0.13509044+-0.57273924,0.18912657+0.0025142757+0.09451987,0.60117024,123,1710.41600875
0.13384649+-0.1754104+-0.5991259,0.12247311+-0.13423029+-0.5727658,0.18911563+0.002513389+0.09453661,0.6008977,124,1710.449353541
0.13384993+-0.17540972+-0.5991266,0.12154486+-0.13293727+-0.57288456,0.1891046+0.0025131656+0.09452684,0.6005349,125,1710.482694958
0.13383836+-0.17537946+-0.59911346,0.1206191+-0.13174011+-0.5730089,0.18910125+0.0025152927+0.09451991,0.600203,126,1710.516039333
0.1338321+-0.17536627+-0.59909326,0.12013944+-0.13112085+-0.5730632,0.1891027+0.002516143+0.09451236,0.60002303,127,1710.549383416
0.13383417+-0.17536221+-0.59908104,0.11916342+-0.12982288+-0.5731639,0.18910037+0.0025206767+0.09449854,0.5996422,128,1710.582725958
0.13384715+-0.17534654+-0.5990454,0.118201554+-0.1284601+-0.5732631,0.18909623+0.0025245314+0.094486564,0.59925306,129,1710.616069208
0.13384825+-0.17534629+-0.59900665,0.12036305+-0.13098852+-0.5732491,0.1890904+0.0025286498+0.094482146,0.60021645,130,1710.649412166
0.13384941+-0.17534691+-0.59900504,0.12552921+-0.13731852+-0.57309866,0.18908651+0.002538545+0.094482206,0.6025413,131,1710.682755958
0.13386661+-0.1753287+-0.5989919,0.12801416+-0.14029461+-0.5730002,0.18908475+0.002553218+0.09448553,0.60365504,132,1710.716099458
0.13390014+-0.17533445+-0.598972,0.1283642+-0.14065625+-0.5729734,0.18908383+0.0025787083+0.09448889,0.603788,133,1710.749443166
0.13393039+-0.17535043+-0.599074,0.12837002+-0.14048493+-0.5729391,0.18908101+0.0026049034+0.094492294,0.6037169,134,1710.782785125
0.13397439+-0.17534918+-0.5990768,0.13053943+-0.13994968+-0.5727154,0.1890701+0.002635872+0.09455301,0.6038455,135,1710.816129
0.13407563+-0.17534912+-0.599115,0.13159387+-0.13976763+-0.57260686,0.18905997+0.0026554575+0.09456739,0.6039292,136,1710.849478
0.13407312+-0.17533906+-0.59917164,0.13300404+-0.13959785+-0.5724501,0.18904334+0.0026662517+0.09457297,0.6040503,137,1710.882823916
0.13408315+-0.17532128+-0.59918,0.13372016+-0.13955459+-0.57235634,0.18903965+0.0026387041+0.09464546,0.6041095,138,1710.916163958
0.13408315+-0.17532128+-0.59918,0.1331418+-0.13999172+-0.5717282,0.18903098+0.002633512+0.09467692,0.60348785,139,1710.949502875
0.1341401+-0.17533712+-0.5992527,0.13149709+-0.14087315+-0.5705848,0.18902352+0.0026391558+0.09469951,0.60224885,140,1710.982846666
0.13410446+-0.17535649+-0.5992901,0.13079117+-0.1413784+-0.569921,0.18901795+0.0026295555+0.09475227,0.6015847,141,1711.016189291
0.13410233+-0.17538093+-0.5993325,0.13075389+-0.14150943+-0.569744,0.18900697+0.0026234696+0.09477688,0.60143965,142,1711.049533541
0.13409194+-0.17536756+-0.5993692,0.13092943+-0.14167988+-0.5695085,0.18899776+0.0026134902+0.09478966,0.60129493,143,1711.082886375
0.13407306+-0.175359+-0.5993915,0.13098152+-0.1393412+-0.5692226,0.18898389+0.0026063155+0.094794534,0.6004886,144,1711.116226416
0.13407071+-0.17536388+-0.59940034,0.1309968+-0.13826738+-0.5690795,0.18896644+0.0025968968+0.09479925,0.6001079,145,1711.149563541
0.13404945+-0.1753272+-0.599435,0.13105175+-0.1369971+-0.56881344,0.18895538+0.0025925383+0.094799586,0.5995761,146,1711.182905541
0.1340597+-0.17530173+-0.59944475,0.13114448+-0.13653411+-0.5685669,0.18895127+0.002592829+0.09479049,0.5992569,147,1711.216249625
0.13404712+-0.17529853+-0.59944564,0.13078246+-0.1356722+-0.5688562,0.188948+0.002593305+0.0947777,0.5992565,148,1711.24960075
0.13404712+-0.17529853+-0.59944564,0.1299513+-0.13419154+-0.56967556,0.1889457+0.0025935972+0.09476334,0.5995206,149,1711.2829445
0.13397779+-0.1752221+-0.5993781,0.12948859+-0.13314575+-0.57004863,0.1889474+0.0025952158+0.094744585,0.5995419,150,1711.316288375
0.13396001+-0.1752214+-0.5993585,0.12938312+-0.13277307+-0.5700826,0.18895046+0.002598509+0.09473281,0.5994688,151,1711.349622625
0.13394445+-0.17523472+-0.59933877,0.12929364+-0.13213158+-0.57002807,0.18895169+0.00260639+0.09472392,0.59925586,152,1711.382967
0.13393472+-0.17524692+-0.5993099,0.12924576+-0.13149068+-0.5699517,0.18894407+0.002637568+0.094772525,0.59903187,153,1711.416308875
0.1339809+-0.17523564+-0.59933585,0.129215+-0.13115847+-0.5699236,0.18894513+0.0026622722+0.09479024,0.59892565,154,1711.449652666
0.13400455+-0.17521091+-0.5993353,0.1291335+-0.13048992+-0.5698822,0.18895541+0.002681965+0.09480054,0.59872264,155,1711.48300525
0.1340187+-0.1752395+-0.5993122,0.12903404+-0.12983127+-0.56984764,0.18899508+0.0026410418+0.09484031,0.5985251,156,1711.516339708
0.13398463+-0.17524949+-0.59933025,0.1298859+-0.12939629+-0.57009125,0.18901922+0.002637256+0.09485772,0.59884703,157,1711.549682666
0.13395914+-0.17525986+-0.59931487,0.13165101+-0.12921879+-0.5705906,0.18903692+0.0026423559+0.094866425,0.59966916,158,1711.583035583
0.13395795+-0.17523687+-0.5993109,0.1325985+-0.12882835+-0.5708375,0.18905832+0.0026386871+0.094863094,0.60002875,159,1711.616370125
0.13391449+-0.17526853+-0.59928644,0.13280049+-0.12855169+-0.57087934,0.18906318+0.0026459573+0.09486945,0.60005397,160,1711.649712708
0.13400894+-0.17532752+-0.5993869,0.13299519+-0.12792687+-0.57089996,0.18906592+0.0026610864+0.09487422,0.59998316,161,1711.683063708
0.13403842+-0.17532106+-0.5994026,0.13256474+-0.13098596+-0.57182604,0.18907729+0.0026815543+0.09488394,0.6014281,162,1711.7163995
0.13405538+-0.17533621+-0.59941375,0.13238432+-0.13236818+-0.57224333,0.18908969+0.0026993677+0.09490808,0.60208756,163,1711.749743291
