peerPosAR,peerPosNI,MyPos,Time
0.32611752+-0.15004909+-0.48821914,0.2772275+0.029203927+-0.68223345,0.0033105167+0.17483784+0.0785296,107
0.3262474+-0.15002859+-0.48877665,0.27876624+0.029048266+-0.68749464,0.003329496+0.17489235+0.07821737,108
0.32629097+-0.15006682+-0.48906347,0.2800183+0.028996347+-0.6909737,0.0033615297+0.17491734+0.078216255,109
0.32629097+-0.15006682+-0.48906347,0.28104267+0.028962148+-0.6928841,0.0034650238+0.17492968+0.07839104,110
0.32632256+-0.1502007+-0.48879495,0.28104267+0.028962148+-0.6928841,0.0035434256+0.1749513+0.07868553,111
0.3263503+-0.15027134+-0.48846993,0.28185603+0.0288742+-0.6938006,0.0036251498+0.17497088+0.07891721,112
0.3263729+-0.15035804+-0.48820692,0.28224757+0.027890213+-0.69392335,0.003612523+0.17497091+0.07907349,113
0.32638717+-0.15033208+-0.48804608,0.28202307+0.025039893+-0.6931585,0.0035296401+0.17499518+0.07898866,114
0.32642627+-0.15021461+-0.4881541,0.28132328+0.0212006+-0.69198513,0.003443314+0.1750218+0.07869464,115
0.3264498+-0.15012333+-0.48843712,0.28045678+0.01783197+-0.69101226,0.0033371327+0.17504783+0.078326255,116
0.32646954+-0.1500251+-0.48879215,0.28045678+0.01783197+-0.69101226,0.003293142+0.17506544+0.077957086,117
0.32647598+-0.14998962+-0.4891366,0.27973104+0.015429184+-0.6903927,0.0034221364+0.17522354+0.07778878,118
0.32662642+-0.15012921+-0.48927984,0.2793817+0.013913392+-0.69008094,0.0035189865+0.1752795+0.07776833,119
0.32667738+-0.15022762+-0.48926815,0.27943322+0.012967776+-0.69002223,0.0035804203+0.1752953+0.077940285,120
0.32669514+-0.150281+-0.48906785,0.27973735+0.012289199+-0.69017994,0.0036131463+0.17530465+0.07818573,121
0.326707+-0.15030453+-0.48879087,0.2801295+0.0124675445+-0.69064075,0.003605504+0.17532068+0.07840029,122
0.32672587+-0.15028578+-0.48854333,0.2801295+0.0124675445+-0.69064075,0.003543297+0.1753381+0.07851991,123
0.32674107+-0.15021947+-0.48838702,0.28043827+0.014352678+-0.69151145,0.0035871605+0.17530638+0.078528136,124
0.32670522+-0.15026437+-0.48834053,0.28048903+0.017167183+-0.6925823,0.0035463823+0.17532317+0.07830579,125
0.32671103+-0.15023465+-0.48852336,0.28027278+0.019628782+-0.6935235,0.0035220878+0.17535295+0.07796342,126
0.32671103+-0.15023465+-0.48852336,0.27994367+0.021311259+-0.69418395,0.003511113+0.17537943+0.07766306,127
0.32677627+-0.15010448+-0.48940966,0.27969432+0.022230854+-0.6945571,0.00353634+0.17539708+0.07746509,128
0.32678318+-0.15012829+-0.48960736,0.27969432+0.022230854+-0.6945571,0.003569764+0.17541903+0.07739129,129
0.32679567+-0.15016587+-0.48966986,0.2796684+0.02256951+-0.69472504,0.003852677+0.17507213+0.07772602,130
0.32644817+-0.1504371+-0.4892986,0.27953795+0.022187687+-0.69405985,0.0039251433+0.1749468+0.07800149,131
0.32632348+-0.15049739+-0.48899904,0.27877212+0.020849127+-0.69178087,0.003902181+0.17490381+0.07820259,132
0.32629517+-0.15044244+-0.4889188,0.27750653+0.019043906+-0.6887173,0.0038492372+0.17489864+0.07826227,133
0.32628855+-0.15037738+-0.48889336,0.27615592+0.017457655+-0.68615544,0.0037791105+0.17490527+0.07818778,134
0.32628626+-0.15030582+-0.48898008,0.27615592+0.017457655+-0.68615544,0.0037358468+0.17490804+0.07799805,135
0.32627425+-0.15026414+-0.4891662,0.27490985+0.01633191+-0.6844724,0.004039301+0.1749847+0.0780058,136
0.32627425+-0.15026414+-0.4891662,0.27390355+0.015641863+-0.6835392,0.0041575977+0.17503051+0.077840775,137
0.32636544+-0.15069067+-0.4892932,0.27322128+0.015240987+-0.6830646,0.0042160647+0.17505166+0.07772924,138
0.32636994+-0.15075177+-0.4893924,0.27285853+0.014970812+-0.68280613,0.004244682+0.17506027+0.07772823,139
0.32636476+-0.15077817+-0.4893803,0.27273858+0.014723874+-0.6826277,0.004245291+0.17507094+0.07780436,140
0.32636476+-0.15077817+-0.4893803,0.2735383+0.015155554+-0.6827825,0.0042076083+0.17508492+0.07792454,141
0.32636702+-0.15072742+-0.48916134,0.27606305+0.016268084+-0.68313605,0.004216329+0.1750293+0.07823769,142
0.3263056+-0.15072326+-0.48883307,0.27945283+0.017880028+-0.68371636,0.0041711335+0.17501998+0.078328095,143
0.32628286+-0.15067245+-0.48873004,0.2822593+0.019281903+-0.68425053,0.0041328026+0.17503491+0.07824208,144
0.3262788+-0.15063623+-0.48880574,0.28404334+0.020245707+-0.6846091,0.0041111545+0.17505686+0.07805787,145
0.32628068+-0.1506263+-0.48898703,0.28493825+0.02079731+-0.6847545,0.004114118+0.17507665+0.077845044,146
0.32627922+-0.15063794+-0.48919296,0.28493825+0.02079731+-0.6847545,0.0041270093+0.1750998+0.07765112,147
0.32628253+-0.15065607+-0.4893825,0.28531897+0.021046137+-0.684698,0.0044407235+0.17515859+0.07776521,148
0.32632843+-0.15096256+-0.4892551,0.28554097+0.021100422+-0.68448925,0.004538463+0.1751844+0.077847235,149
0.32634032+-0.1510565+-0.4891636,0.2857912+0.021049105+-0.684207,0.0045423573+0.1751983+0.07796681,150
0.32634383+-0.15104946+-0.48903927,0.28609818+0.020961754+-0.6839258,0.0045100404+0.17521372+0.07808243,151
0.32634383+-0.15104946+-0.48903927,0.28639418+0.020888764+-0.6837025,0.004458378+0.1752324+0.07815161,152
0.32635677+-0.1509432+-0.4888465,0.28639418+0.020888764+-0.6837025,0.004416025+0.17524739+0.07814941,153
0.32635748+-0.15089896+-0.48884395,0.28659073+0.020860685+-0.68356705,0.004515509+0.1753348+0.078332245,154
0.32635748+-0.15089896+-0.48884395,0.28667226+0.020884562+-0.68349725,0.0045566494+0.1753834+0.07825608,155
0.32648236+-0.1510301+-0.4887291,0.2867069+0.020943398+-0.6834378,0.0045828586+0.17541608+0.07810842,156
0.32653046+-0.15106985+-0.4888977,0.28678128+0.021005932+-0.68334866,0.004599257+0.17543608+0.07798826,157
0.32660055+-0.15111373+-0.48907983,0.28696778+0.021044355+-0.6832101,0.004598378+0.1754549+0.077927954,158
0.32661274+-0.15111382+-0.48914498,0.28714454+0.020938301+-0.68295395,0.0045739054+0.17547682+0.077930726,159
0.3266259+-0.1510902+-0.4891444,0.28803042+0.020605082+-0.6819482,0.004689376+0.1756113+0.07821055,160
0.3267567+-0.15119681+-0.48886102,0.2891963+0.020123072+-0.68062025,0.004690929+0.17565507+0.07838051,161
0.3267567+-0.15119681+-0.48886102,0.29023597+0.019692512+-0.6794476,0.0046733255+0.17567806+0.078461245,162
0.32688326+-0.15115026+-0.48857725,0.29097456+0.019393262+-0.6786028,0.0046639065+0.17569833+0.07845163,163
0.32699767+-0.15109964+-0.4885384,0.29140583+0.019225368+-0.6780752,0.00467248+0.17571309+0.078373745,164
0.32702136+-0.15109324+-0.48858202,0.29140583+0.019225368+-0.6780752,0.0046922755+0.17572467+0.07825334,165
0.32701364+-0.15111595+-0.48869127,0.29163694+0.019145818+-0.67776364,0.0048027234+0.17571796+0.07816204,166
0.32701364+-0.15111595+-0.48869127,0.29164922+0.019099662+-0.6773602,0.0048464974+0.17571607+0.07808098,167
0.32697988+-0.15127884+-0.48884925,0.29134828+0.019044312+-0.6765563,0.0048504365+0.17570867+0.07806201,168
0.32712397+-0.15132317+-0.48895678,0.29094598+0.018965116+-0.67549664,0.0048333956+0.17569956+0.07809473,169
0.32740095+-0.15138519+-0.489085,0.29070598+0.018872363+-0.67449296,0.0048083668+0.17569232+0.07814955,170
0.32748976+-0.15138942+-0.48908168,0.29070598+0.018872363+-0.67449296,0.004790096+0.17568463+0.07819964,171
0.3275188+-0.15138392+-0.4890517,0.2906446+0.018785464+-0.67367953,0.0045827543+0.17565161+0.07832494,172
0.32751+-0.15118264+-0.48894754,0.29067764+0.01871842+-0.67307866,0.004533413+0.17563319+0.07832092,173
0.32750332+-0.15114942+-0.48896146,0.29074153+0.018671246+-0.6726436,0.0045416425+0.17562221+0.07823512,174
