peerPosAR,peerPosNI,MyPos,Time
0.38375998+0.22777751+-0.3240627,0.3444162+0.055602577+-0.72777134,-0.50203013+0.02929005+0.34192634,0.80707204,105
0.38371503+0.2278629+-0.32402745,0.34413016+0.055487737+-0.7275357,-0.5020816+0.029289713+0.34188738,0.8067296,106
0.38367248+0.227911+-0.32398942,0.34413016+0.055487737+-0.7275357,-0.5020941+0.029288521+0.34187043,0.8067296,107
0.38364482+0.22792748+-0.32396016,0.34379452+0.055427015+-0.72735685,-0.5020741+0.029284608+0.34188193,0.80642104,108
0.3836661+0.22789425+-0.32395905,0.3434159+0.055412304+-0.7272211,-0.501937+0.02927513+0.3420565,0.8061362,109
0.38381875+0.22775596+-0.32405204,0.3430298+0.055407293+-0.727102,-0.5018695+0.0292743+0.34213835,0.8058639,110
0.38388398+0.22768831+-0.3241041,0.34267327+0.055368695+-0.72697645,-0.5018586+0.029274898+0.34217587,0.8055963,111
0.3839146+0.22767514+-0.32413042,0.34235492+0.05527043+-0.72683746,-0.5018955+0.02927645+0.34217972,0.8053288,112
0.38391078+0.22770956+-0.32414958,0.34242028+0.05519256+-0.7272109,-0.5019627+0.029277299+0.34216017,0.80568826,113
0.38390365+0.22776552+-0.32414857,0.34327644+0.055250842+-0.72872055,-0.50203395+0.029278401+0.34213305,0.8074187,114
0.3838779+0.22783324+-0.3241419,0.34453914+0.05540475+-0.7308404,-0.50210863+0.029269168+0.34210122,0.8098793,115
0.38386407+0.22790605+-0.32410982,0.34558102+0.05556373+-0.732693,-0.5021398+0.029265223+0.34210163,0.81200534,116
0.38386407+0.22790605+-0.32410982,0.34619635+0.055702906+-0.7339904,-0.5021335+0.029260613+0.34212732,0.81344736,117
0.3838761+0.22795528+-0.32409114,0.34642285+0.05580603+-0.73476064,-0.5021145+0.029252606+0.34216365,0.8142458,118
0.3839102+0.22794503+-0.3240941,0.34642285+0.05580603+-0.73476064,-0.5021082+0.02924218+0.34219408,0.8142458,119
0.38394198+0.22794253+-0.32410246,0.34639302+0.055847842+-0.7351541,-0.5021322+0.029230664+0.34220514,0.81459105,120
0.3839766+0.22795868+-0.32410216,0.3462438+0.05580995+-0.73533016,-0.50220484+0.029152341+0.34226197,0.814684,121
0.38407305+0.22803777+-0.3240614,0.34937647+0.05652097+-0.7347118,-0.50227624+0.02912097+0.34225315,0.81551206,122
0.38409477+0.22811237+-0.3240172,0.3528297+0.057380177+-0.7339927,-0.50234944+0.029103395+0.3422286,0.8164108,123
0.38408852+0.22819257+-0.32397473,0.35586742+0.05815732+-0.7333907,-0.50240266+0.029090278+0.34221464,0.8172428,124
0.38408342+0.22824734+-0.3239481,0.35586742+0.05815732+-0.7333907,-0.5024243+0.029082092+0.3422208,0.8172428,125
0.38409218+0.22827712+-0.32393274,0.35803276+0.058748264+-0.7330103,-0.5024185+0.029075306+0.34224564,0.8178893,126
0.38411242+0.22827849+-0.32393923,0.35936987+0.059160955+-0.73283607,-0.50227386+0.029127648+0.34235796,0.81834924,127
0.38417593+0.22813803+-0.3240506,0.36012745+0.0594299+-0.73280424,-0.5022002+0.029150508+0.342407,0.81867313,128
0.38420546+0.22807875+-0.324076,0.36057746+0.059584334+-0.7328453,-0.5021741+0.029165393+0.34241912,0.8189192,129
0.38420594+0.22806075+-0.32408863,0.3609256+0.059653938+-0.732907,-0.50218964+0.029177211+0.34240913,0.8191328,130
0.38421303+0.22806528+-0.32412612,0.36057562+0.05950617+-0.73285174,-0.5022314+0.029187262+0.34238666,0.81891847,131
